n_clusters,n_noise,silhouette_score,calinski_harabasz_score,davies_bouldin_score,eps,min_samples
67,32698,-0.3454149612503148,2.721078873149674,0.988878581010079,0.3,2
1,32830,,,,0.3,3
0,32833,,,,0.3,4
0,32833,,,,0.3,5
0,32833,,,,0.3,6
110,32612,-0.3907846315310395,2.8369431511019925,0.9794631644352934,0.5,2
1,32830,,,,0.5,3
0,32833,,,,0.5,4
0,32833,,,,0.5,5
0,32833,,,,0.5,6
147,32534,-0.41109636512759945,2.6278608589256325,1.0073267766666794,0.8,2
5,32818,-0.19655981930508162,2.7996356572071437,1.190456494856639,0.8,3
0,32833,,,,0.8,4
0,32833,,,,0.8,5
0,32833,,,,0.8,6
203,32419,-0.44754559220878676,2.4221893446497003,1.0675518323847084,1.0,2
8,32809,-0.20489486405334342,2.6260102612834646,1.1893246087601563,1.0,3
0,32833,,,,1.0,4
0,32833,,,,1.0,5
0,32833,,,,1.0,6
765,31113,-0.5070105740883202,2.1551344530105605,1.232718158596298,1.5,2
110,32423,-0.3973603527520313,2.3257974506699672,1.3800506584088852,1.5,3
27,32694,-0.29557177100123505,2.801811347012173,1.434154995064562,1.5,4
8,32778,-0.23592413875373144,3.886849417380689,1.4397904325356814,1.5,5
2,32812,-0.17883851633222902,5.5371525301959625,1.5224478922890334,1.5,6
